epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,426.532,0.41918,2.99967,0.92761,0.08078,0.30909,0.15053,0.0985,0.94955,4.087,1.15068,0.000181032,0.000181032,0.000181032
46,435.574,0.45403,2.86439,0.92447,0.08078,0.30909,0.15053,0.0985,0.94955,4.087,1.15068,0.000183975,0.000183975,0.000183975
47,445.025,0.48466,2.86578,0.94073,0.0726,0.30909,0.18158,0.11416,0.97631,4.09371,1.17874,0.000186866,0.000186866,0.000186866
48,459.659,0.42996,2.74936,0.898,0.0726,0.30909,0.18158,0.11416,0.97631,4.09371,1.17874,0.000189704,0.000189704,0.000189704
49,470.746,0.46679,2.81746,0.9518,0.05943,0.19545,0.12443,0.09428,1.00318,4.11236,1.20075,0.000192491,0.000192491,0.000192491
50,477.719,0.42298,2.88598,0.86794,0.05943,0.19545,0.12443,0.09428,1.00318,4.11236,1.20075,0.000195225,0.000195225,0.000195225
51,484.859,0.39401,2.6422,0.87733,0.05561,0.19545,0.1256,0.10073,0.97069,4.12802,1.17937,0.000197907,0.000197907,0.000197907
52,491.619,0.46826,2.68972,0.89468,0.05561,0.19545,0.1256,0.10073,0.97069,4.12802,1.17937,0.000200538,0.000200538,0.000200538
53,501.045,0.50613,2.72812,0.91827,0.05561,0.19545,0.1256,0.10073,0.97069,4.12802,1.17937,0.000203116,0.000203116,0.000203116
54,510.576,0.39586,2.63079,0.8958,0.04697,0.19545,0.12199,0.09671,0.99046,4.14019,1.19231,0.000205642,0.000205642,0.000205642
55,519.604,0.48494,2.53831,0.96786,0.04697,0.19545,0.12199,0.09671,0.99046,4.14019,1.19231,0.000208116,0.000208116,0.000208116
56,529.083,0.46177,2.64252,0.90011,0.04697,0.19545,0.12199,0.09671,0.99046,4.14019,1.19231,0.000210538,0.000210538,0.000210538
57,541.001,0.41319,2.61937,0.90415,0.05203,0.21818,0.1289,0.10868,1.02223,4.16534,1.22542,0.000212908,0.000212908,0.000212908
58,547.991,0.39588,2.52685,0.86888,0.05203,0.21818,0.1289,0.10868,1.02223,4.16534,1.22542,0.000215226,0.000215226,0.000215226
59,555.351,0.4835,2.58923,0.90784,0.05203,0.21818,0.1289,0.10868,1.02223,4.16534,1.22542,0.000217492,0.000217492,0.000217492
60,563.056,0.40899,2.48157,0.93525,0.05455,0.21818,0.12649,0.10784,0.9941,4.18686,1.22262,0.000219705,0.000219705,0.000219705
61,569.517,0.4661,2.65326,0.93698,0.05455,0.21818,0.12649,0.10784,0.9941,4.18686,1.22262,0.000221867,0.000221867,0.000221867
62,576.756,0.35545,2.37072,0.8664,0.05455,0.21818,0.12649,0.10784,0.9941,4.18686,1.22262,0.000223976,0.000223976,0.000223976
63,585.464,0.46898,2.45424,0.9169,0.06207,0.21818,0.12879,0.10996,0.98772,4.18137,1.21661,0.000226034,0.000226034,0.000226034
64,597.05,0.50033,2.43962,0.89898,0.06207,0.21818,0.12879,0.10996,0.98772,4.18137,1.21661,0.000228039,0.000228039,0.000228039
65,606.25,0.50052,2.33095,0.99432,0.06207,0.21818,0.12879,0.10996,0.98772,4.18137,1.21661,0.000229992,0.000229992,0.000229992
66,615.538,0.57258,2.43489,0.99856,0.06025,0.21818,0.13206,0.10802,0.99434,4.17742,1.22176,0.000231894,0.000231894,0.000231894
67,625.59,0.40016,2.32726,0.86565,0.06025,0.21818,0.13206,0.10802,0.99434,4.17742,1.22176,0.000233743,0.000233743,0.000233743
68,632.303,0.52281,2.14556,0.93052,0.06025,0.21818,0.13206,0.10802,0.99434,4.17742,1.22176,0.00023554,0.00023554,0.00023554
69,639.352,0.37679,2.21215,0.91769,0.06691,0.30909,0.14652,0.11372,1.01867,4.17767,1.23072,0.000237285,0.000237285,0.000237285
70,645.764,0.39426,2.21983,0.92615,0.06691,0.30909,0.14652,0.11372,1.01867,4.17767,1.23072,0.000238978,0.000238978,0.000238978
71,653.215,0.42495,2.11268,0.94696,0.06691,0.30909,0.14652,0.11372,1.01867,4.17767,1.23072,0.000240619,0.000240619,0.000240619
72,662.283,0.46211,2.1284,0.8963,0.06429,0.30909,0.1425,0.11122,1.02138,4.18048,1.22332,0.000242207,0.000242207,0.000242207
73,671.452,0.45177,2.07665,0.91213,0.06429,0.30909,0.1425,0.11122,1.02138,4.18048,1.22332,0.000243744,0.000243744,0.000243744
74,677.961,0.4421,2.18131,0.91417,0.06429,0.30909,0.1425,0.11122,1.02138,4.18048,1.22332,0.000245229,0.000245229,0.000245229
75,684.559,0.41398,2.03974,0.90172,0.06395,0.30909,0.15028,0.11117,1.01857,4.16864,1.21143,0.000246661,0.000246661,0.000246661
76,690.941,0.49987,1.93886,0.95061,0.06395,0.30909,0.15028,0.11117,1.01857,4.16864,1.21143,0.000248042,0.000248042,0.000248042
77,697.921,0.4753,2.15564,0.90868,0.06395,0.30909,0.15028,0.11117,1.01857,4.16864,1.21143,0.00024937,0.00024937,0.00024937
78,705.415,0.44639,2.02002,0.91536,0.05727,0.30909,0.14887,0.11417,1.01658,4.16461,1.21417,0.000250647,0.000250647,0.000250647
79,711.71,0.4946,1.95578,0.9669,0.05727,0.30909,0.14887,0.11417,1.01658,4.16461,1.21417,0.000251871,0.000251871,0.000251871
80,718.475,0.46595,1.93129,0.95859,0.05727,0.30909,0.14887,0.11417,1.01658,4.16461,1.21417,0.000253043,0.000253043,0.000253043
81,725.533,0.39432,1.94151,0.88913,0.04458,0.30909,0.15197,0.11625,1.037,4.15542,1.22622,0.000254163,0.000254163,0.000254163
82,737.744,0.44231,1.68245,0.99085,0.04458,0.30909,0.15197,0.11625,1.037,4.15542,1.22622,0.000255231,0.000255231,0.000255231
83,744.596,0.41955,1.7539,0.89646,0.04458,0.30909,0.15197,0.11625,1.037,4.15542,1.22622,0.000256247,0.000256247,0.000256247
84,751.551,0.46328,2.02192,0.88985,0.0382,0.28636,0.14639,0.1176,1.04426,4.14533,1.2297,0.000257211,0.000257211,0.000257211
85,758.363,0.47953,1.67819,0.92085,0.0382,0.28636,0.14639,0.1176,1.04426,4.14533,1.2297,0.000258123,0.000258123,0.000258123
86,765.272,0.48428,1.64434,0.93527,0.0382,0.28636,0.14639,0.1176,1.04426,4.14533,1.2297,0.000258983,0.000258983,0.000258983
87,771.535,0.58368,1.90241,0.97459,0.0382,0.28636,0.14639,0.1176,1.04426,4.14533,1.2297,0.00025979,0.00025979,0.00025979
88,778.091,0.47164,1.91267,0.92571,0.03319,0.25606,0.14555,0.11959,1.06957,4.15091,1.24257,0.000260546,0.000260546,0.000260546
89,784.793,0.45412,1.66623,0.89132,0.03319,0.25606,0.14555,0.11959,1.06957,4.15091,1.24257,0.000261249,0.000261249,0.000261249
90,796.363,0.43924,1.87313,0.91,0.03319,0.25606,0.14555,0.11959,1.06957,4.15091,1.24257,0.000261901,0.000261901,0.000261901
91,810.515,0.43407,1.62145,0.91253,0.03319,0.25606,0.14555,0.11959,1.06957,4.15091,1.24257,0.0002625,0.0002625,0.0002625
92,820.914,0.55258,1.71744,0.9257,0.02981,0.25606,0.14324,0.1176,1.11694,4.1522,1.26573,0.000263048,0.000263048,0.000263048
93,827.974,0.39116,1.98841,0.86627,0.02981,0.25606,0.14324,0.1176,1.11694,4.1522,1.26573,0.000263543,0.000263543,0.000263543
94,835.12,0.49588,1.47536,0.98066,0.02981,0.25606,0.14324,0.1176,1.11694,4.1522,1.26573,0.000263986,0.000263986,0.000263986
95,842.326,0.4854,1.74098,0.92104,0.02981,0.25606,0.14324,0.1176,1.11694,4.1522,1.26573,0.000264377,0.000264377,0.000264377
96,849.226,0.46414,1.45979,0.96906,0.85043,0.10822,0.13475,0.11175,1.12124,4.12747,1.27487,0.000264716,0.000264716,0.000264716
97,860.817,0.40811,1.35877,0.92531,0.85043,0.10822,0.13475,0.11175,1.12124,4.12747,1.27487,0.000265003,0.000265003,0.000265003
98,869.511,0.44866,1.53265,0.93526,0.85043,0.10822,0.13475,0.11175,1.12124,4.12747,1.27487,0.000265238,0.000265238,0.000265238
99,878.669,0.47018,1.70182,0.90921,0.85043,0.10822,0.13475,0.11175,1.12124,4.12747,1.27487,0.000265421,0.000265421,0.000265421
100,890.404,0.44067,1.56546,0.89988,0.87927,0.11049,0.12055,0.09525,1.09014,4.13712,1.27194,0.000265551,0.000265551,0.000265551
101,897.289,0.46644,1.50235,0.94294,0.87927,0.11049,0.12055,0.09525,1.09014,4.13712,1.27194,0.00026563,0.00026563,0.00026563
102,903.974,0.43943,1.51311,0.94199,0.87927,0.11049,0.12055,0.09525,1.09014,4.13712,1.27194,0.000263026,0.000263026,0.000263026
103,911.509,0.36274,1.30132,0.92606,0.87927,0.11049,0.12055,0.09525,1.09014,4.13712,1.27194,0.000260423,0.000260423,0.000260423
104,918.157,0.52116,1.6455,0.90687,0.87633,0.11212,0.1281,0.09557,1.08933,4.14215,1.27419,0.000257819,0.000257819,0.000257819
105,925.319,0.35371,1.39369,0.85658,0.87633,0.11212,0.1281,0.09557,1.08933,4.14215,1.27419,0.000255215,0.000255215,0.000255215
106,931.762,0.42873,1.54011,0.88184,0.87633,0.11212,0.1281,0.09557,1.08933,4.14215,1.27419,0.000252611,0.000252611,0.000252611
107,940.802,0.44838,1.35092,0.88951,0.87633,0.11212,0.1281,0.09557,1.08933,4.14215,1.27419,0.000250008,0.000250008,0.000250008
108,949.94,0.42916,1.5828,0.91761,0.89956,0.10837,0.12873,0.09831,1.09792,4.1385,1.27961,0.000247404,0.000247404,0.000247404
109,956.323,0.40499,1.42142,0.93028,0.89956,0.10837,0.12873,0.09831,1.09792,4.1385,1.27961,0.0002448,0.0002448,0.0002448
110,962.558,0.43203,1.49681,0.90942,0.89956,0.10837,0.12873,0.09831,1.09792,4.1385,1.27961,0.000242197,0.000242197,0.000242197
111,969.265,0.39708,1.43199,0.9108,0.89956,0.10837,0.12873,0.09831,1.09792,4.1385,1.27961,0.000239593,0.000239593,0.000239593
112,975.563,0.40647,1.44226,0.9238,0.90396,0.10972,0.14151,0.09823,1.10463,4.16087,1.28538,0.000236989,0.000236989,0.000236989
113,981.776,0.53073,1.6045,0.94621,0.90396,0.10972,0.14151,0.09823,1.10463,4.16087,1.28538,0.000234386,0.000234386,0.000234386
114,988.613,0.40551,1.34954,0.90009,0.90396,0.10972,0.14151,0.09823,1.10463,4.16087,1.28538,0.000231782,0.000231782,0.000231782
115,994.769,0.33871,1.34541,0.89423,0.90396,0.10972,0.14151,0.09823,1.10463,4.16087,1.28538,0.000229178,0.000229178,0.000229178
116,1003.69,0.42111,1.43296,0.90716,0.90543,0.11092,0.13862,0.09845,1.14356,4.10524,1.31191,0.000226575,0.000226575,0.000226575
117,1013.47,0.37607,1.36246,0.92804,0.90543,0.11092,0.13862,0.09845,1.14356,4.10524,1.31191,0.000223971,0.000223971,0.000223971
118,1022.2,0.40287,1.2383,0.90344,0.90543,0.11092,0.13862,0.09845,1.14356,4.10524,1.31191,0.000221367,0.000221367,0.000221367
119,1034.19,0.45472,1.46508,0.92893,0.90543,0.11092,0.13862,0.09845,1.14356,4.10524,1.31191,0.000218763,0.000218763,0.000218763
120,1043.9,0.44324,1.49171,0.91555,0.89912,0.11212,0.14099,0.10309,1.17048,4.05621,1.32893,0.00021616,0.00021616,0.00021616
121,1050.82,0.44253,1.23444,0.95089,0.89912,0.11212,0.14099,0.10309,1.17048,4.05621,1.32893,0.000213556,0.000213556,0.000213556
122,1058.23,0.39774,1.19743,0.90994,0.89912,0.11212,0.14099,0.10309,1.17048,4.05621,1.32893,0.000210952,0.000210952,0.000210952
123,1065.27,0.41168,1.27358,0.93898,0.89912,0.11212,0.14099,0.10309,1.17048,4.05621,1.32893,0.000208349,0.000208349,0.000208349
124,1072.05,0.43733,1.27455,0.95113,0.86101,0.13389,0.13363,0.10552,1.14952,4.06463,1.33955,0.000205745,0.000205745,0.000205745
125,1078.94,0.408,1.09841,0.8691,0.86101,0.13389,0.13363,0.10552,1.14952,4.06463,1.33955,0.000203141,0.000203141,0.000203141
126,1090.49,0.40533,1.2437,0.8791,0.86101,0.13389,0.13363,0.10552,1.14952,4.06463,1.33955,0.000200537,0.000200537,0.000200537
127,1096.59,0.36689,1.23462,0.91175,0.86101,0.13389,0.13363,0.10552,1.14952,4.06463,1.33955,0.000197934,0.000197934,0.000197934
128,1103.11,0.39358,1.17464,0.90011,0.86155,0.13641,0.13894,0.10521,1.14738,4.05911,1.35358,0.00019533,0.00019533,0.00019533
129,1109.17,0.42362,1.26093,0.93191,0.86155,0.13641,0.13894,0.10521,1.14738,4.05911,1.35358,0.000192726,0.000192726,0.000192726
130,1116.72,0.36789,1.21079,0.87443,0.86155,0.13641,0.13894,0.10521,1.14738,4.05911,1.35358,0.000190123,0.000190123,0.000190123
131,1122.89,0.35436,1.14235,0.86508,0.86155,0.13641,0.13894,0.10521,1.14738,4.05911,1.35358,0.000187519,0.000187519,0.000187519
132,1129.13,0.3743,1.14874,0.88968,0.8621,0.13782,0.14309,0.11049,1.12212,4.01151,1.35053,0.000184915,0.000184915,0.000184915
133,1135.47,0.4262,1.11246,0.92862,0.8621,0.13782,0.14309,0.11049,1.12212,4.01151,1.35053,0.000182312,0.000182312,0.000182312
134,1141.85,0.38586,1.15791,0.83317,0.8621,0.13782,0.14309,0.11049,1.12212,4.01151,1.35053,0.000179708,0.000179708,0.000179708
